Number of measurements: 61

Measured values:
X      Y
0      2.97  
10     2.96  
20     2.949 
30     2.938 
40     2.926 
50     2.914 
60     2.902 
70     2.89  
80     2.879 
90     2.867 
100    2.855 
110    2.844 
120    2.833 
130    2.82  
140    2.809 
150    2.798 
160    2.787 
170    2.776 
180    2.764 
190    2.752 
200    2.74  
210    2.73  
220    2.72  
230    2.708 
240    2.697 
250    2.685 
260    2.675 
270    2.664 
280    2.652 
290    2.641 
300    2.63  
310    2.619 
320    2.609 
330    2.597 
340    2.586 
350    2.576 
360    2.565 
370    2.553 
380    2.543 
390    2.533 
400    2.522 
410    2.511 
420    2.5   
430    2.489 
440    2.48  
450    2.469 
460    2.457 
470    2.448 
480    2.436 
490    2.427 
500    2.416 
510    2.405 
520    2.395 
530    2.385 
540    2.375 
550    2.364 
560    2.354 
570    2.345 
580    2.333 
590    2.322 
600    2.313 


Coefficients of y = k*x + b:
k = -0.001099
b = 2.964
k_dev = 2.796e-06
b_dev = 0.0004923
