Number of measurements: 61

Measured values:
X      Y
0      2.868 
10     2.864 
20     2.859 
30     2.852 
40     2.845 
50     2.84  
60     2.836 
70     2.831 
80     2.826 
90     2.82  
100    2.813 
110    2.807 
120    2.802 
130    2.795 
140    2.791 
150    2.787 
160    2.781 
170    2.775 
180    2.768 
190    2.763 
200    2.755 
210    2.75  
220    2.744 
230    2.738 
240    2.732 
250    2.727 
260    2.72  
270    2.713 
280    2.708 
290    2.701 
300    2.697 
310    2.691 
320    2.685 
330    2.679 
340    2.673 
350    2.667 
360    2.661 
370    2.655 
380    2.65  
390    2.645 
400    2.639 
410    2.633 
420    2.628 
430    2.621 
440    2.617 
450    2.61  
460    2.605 
470    2.6   
480    2.594 
490    2.589 
500    2.583 
510    2.577 
520    2.572 
530    2.566 
540    2.563 
550    2.556 
560    2.549 
570    2.545 
580    2.54  
590    2.534 
600    2.528 


Coefficients of y = k*x + b:
k = -0.0005741
b = 2.87
k_dev = 1.104e-06
b_dev = 0.0001944
